time,x,y,A24,A19,A05,A20,A12,A18,A04,A11,distance
1.60E+18,-42.10350717,40.29310196,0,0,44,0,0,54,40,74,0
1.60E+18,-41.07772721,40.05114994,0,0,47,0,0,52,45,81,0.02549995455
1.60E+18,-39.86984398,39.71429103,0,0,62,0,0,62,46,0,0.02649992192
1.60E+18,-38.79990948,39.25931755,0,0,52,0,0,60,54,0,0.01849998318
1.60E+18,-38.05512978,38.79062932,0,0,52,0,0,64,40,0,0.02649999904
1.60E+18,-37.00172165,38.36633467,0,0,40,0,0,54,40,0,0.01949999929
1.60E+18,-35.59882388,38.35933608,0,0,40,0,0,48,40,83,0.01949998227
1.60E+18,-35.0620874,37.75508363,0,0,40,0,0,44,40,75,0.01849999394
1.60E+18,-33.73940985,37.88490752,0,0,40,0,0,43,40,81,0.02199994878
1.60E+18,-33.37898239,36.91561654,0,0,40,0,0,45,40,72,0.0219999872
1.60E+18,-32.64521703,36.47249842,0,0,40,0,0,44,40,77,1.59E-14
1.60E+18,-32.63706981,36.22614355,0,0,40,0,0,42,40,0,0.001999915899
1.60E+18,-32.89990568,35.90009737,0,0,52,0,0,40,40,78,0.01349998772
1.60E+18,-33.31497873,35.58467232,0,0,47,0,0,45,40,0,0.006999983703
1.60E+18,-33.74925789,35.31905943,0,0,51,0,0,48,40,0,0.01749989242
1.60E+18,-34.0307494,35.35183869,0,0,60,0,0,50,40,0,0.03507625804
1.60E+18,-35.17124565,35.85154111,0,0,58,0,0,48,40,0,0.01999995344
1.60E+18,-35.84264552,36.38023129,0,0,50,0,0,56,40,0,0.02499996726
1.60E+18,-37.12293734,36.71465978,0,0,46,0,0,50,40,0,0.02299994645
1.60E+18,-38.58333283,36.73324628,0,0,40,0,0,53,40,78,0.0264999759
1.60E+18,-39.47249335,36.49603537,0,0,40,0,0,49,40,0,0.03199998138
1.60E+18,-40.99595602,36.1378904,0,0,40,0,0,51,40,75,0.03449999875
1.60E+18,-42.34766075,36.26633954,0,0,40,0,0,63,40,70,0.02149999922
1.60E+18,-43.60247731,36.3028562,0,0,40,0,0,56,40,69,0.0224999337
1.60E+18,-44.62515412,36.4846281,0,0,40,0,0,59,44,72,0.02699998429
1.60E+18,-45.82713029,36.27374167,0,0,40,0,0,62,60,69,0.02699974857
1.60E+18,-46.84590885,35.23520957,0,0,40,0,0,73,48,64,0.02549995455
1.60E+18,-47.50874294,34.32150161,0,0,40,0,0,0,0,60,0.03649993494
1.60E+18,-48.20018656,33.20295023,0,0,40,0,0,0,58,54,0.02149993665
1.60E+18,-49.50102053,32.61333041,0,0,40,0,0,79,69,48,0.02249999918
1.60E+18,-50.35862129,33.06599097,0,0,40,0,0,0,70,43,0.02449995633
1.60E+18,-51.28707674,33.44277292,0,0,40,0,0,0,59,43,0.0214996551
1.60E+18,-52.34668559,34.25104097,0,0,40,0,0,0,67,44,0.02749997499
1.60E+18,-52.85157109,34.65305897,0,0,41,0,0,0,70,40,0.01149999624
1.60E+18,-52.72579238,33.40575382,0,0,48,0,0,0,82,44,0.02099995111
1.60E+18,-51.01392576,33.26375258,0,0,40,0,0,0,65,40,0.02449999911
1.60E+18,-49.82415206,32.67826773,0,0,40,0,0,77,67,40,0.02549979129
1.60E+18,-49.0060535,32.59280316,0,0,40,0,0,0,56,48,0
1.60E+18,-49.54694077,32.3590288,0,0,40,0,0,77,70,45,0.01349985808
1.60E+18,-49.78849327,31.1155455,0,0,40,0,0,76,69,57,0.02099980444
1.60E+18,-49.35306702,30.7245064,0,0,40,0,0,0,0,43,0.01649973531
1.60E+18,-48.5489702,29.90410356,0,77,40,0,0,0,67,44,0.022
1.60E+18,-47.36671965,30.24587294,0,79,40,0,0,0,81,40,0.0224999599
1.60E+18,-47.11293721,29.01073061,78,79,40,0,0,0,74,44,0.01699996042
1.60E+18,-45.77774951,29.65227729,81,77,40,0,0,0,75,40,0.02199991997
1.60E+18,-45.2154726,27.54849655,78,67,40,0,0,0,0,40,0.03199995809
1.60E+18,-43.46933308,28.94285948,82,73,47,0,0,0,0,40,0.02799973926
1.60E+18,-42.67163321,26.38179266,78,68,56,0,74,0,0,40,0.02540798378
1.60E+18,-40.82715885,28.46655567,72,61,50,0,71,0,0,40,0.02849982479
1.60E+18,-39.8377112,28.0097665,67,60,56,0,66,0,0,40,0.02099999694
1.60E+18,-40.09238298,24.19055605,60,51,52,0,74,0,0,40,0.01368480506
1.60E+18,-38.3039909,26.55760719,60,52,59,0,78,0,0,40,0.02149999296
1.60E+18,-38.39549214,22.38872965,55,50,56,0,60,0,0,40,0.02599998487
1.60E+18,-36.28894457,25.19152367,52,46,0,0,65,0,0,40,0.02199994878
1.60E+18,-35.16445652,24.38072448,50,51,67,0,65,0,0,40,0.03299995678
1.60E+18,-34.01837582,23.60055395,53,44,75,0,0,0,0,57,0.03149998969
1.60E+18,-32.9026084,22.77849537,48,40,79,0,67,0,0,41,0.0384999986
1.60E+18,-32.69830817,17.82643657,55,40,78,0,56,0,0,69,0.0319999255
1.60E+18,-30.1866154,20.92936537,48,40,0,78,59,0,0,51,0.03149990719
1.60E+18,-30.04863843,15.99367759,54,40,72,78,52,0,0,54,0.039
1.60E+18,-27.534702,19.07831852,47,40,0,0,0,0,0,54,0.02749997499
1.60E+18,-26.18429769,17.92771924,43,40,0,75,58,0,0,71,0.02149998045
1.60E+18,-24.59283773,17.08756628,44,40,0,80,49,0,0,54,0.03299992317
1.60E+18,-23.21821587,15.83535344,43,40,79,69,50,0,0,58,0.03949975717
1.60E+18,-21.77531614,14.57415036,43,52,80,69,53,0,0,54,0.03799995024
1.60E+18,-21.85025818,10.10421893,0,43,0,70,47,0,0,55,0.02649999132
1.60E+18,-19.07380556,12.53083679,40,53,0,83,46,0,0,60,0.05020648818
1.60E+18,-17.93473929,11.11686512,40,54,0,57,50,0,0,63,0.0389999092
1.60E+18,-16.52181252,9.803199544,40,60,0,61,44,0,0,73,0.03149990719
1.60E+18,-15.75532743,6.384067246,40,56,0,44,40,0,0,0,0.02999914444
1.60E+18,-15.39742424,7.294540664,40,58,0,40,40,0,0,0,0.02549999165
1.60E+18,-14.19403358,4.159168709,40,62,0,0,40,0,0,0,0.02499990906
1.60E+18,-15.24064714,4.01565022,40,70,0,40,40,0,0,0,0.04149933426
1.60E+18,-12.46945037,0.926080972,40,0,0,40,40,0,0,0,0.04199990222
1.60E+18,-14.52037437,0.7347009764,40,72,0,40,58,0,0,0,0.02749963888
1.60E+18,-13.42496735,0.03896980912,40,0,0,40,71,0,0,0,0.03149990719
1.60E+18,-12.38411466,-1.139170447,40,0,0,40,66,0,0,0,0.02999999563
1.60E+18,-11.29897884,-2.697584975,40,0,0,40,72,0,0,0,0.03999869047
1.60E+18,-10.52393223,-4.102235661,48,0,0,40,66,0,0,0,0.02920488463
1.60E+18,-9.78431644,-4.056019466,55,0,0,40,68,0,0,0,0.0074997029
1.60E+18,-9.671584429,-3.780729078,58,0,0,40,65,0,0,0,0.004999895237
1.60E+18,-10.01114808,-3.025732954,57,0,0,40,62,0,0,0,0.02649992192
1.60E+18,-10.93205777,-1.823044189,51,0,0,40,70,0,0,0,0.04249604691
1.60E+18,-11.69134389,-0.4612611294,55,0,0,40,57,0,0,0,0.02799993481
1.60E+18,-9.409775025,1.180157684,43,0,0,40,63,0,0,0,0.03399968338
1.60E+18,-10.80141284,1.861055043,40,76,0,40,56,0,0,0,0.02749983094
1.60E+18,-13.934346,3.391141515,40,65,0,40,50,0,0,0,0.02949975855
1.60E+18,-13.85979443,4.485320055,40,61,0,40,51,0,0,0,0.03399916393
1.60E+18,-12.89362921,5.770863983,40,70,0,40,58,0,0,82,0.03199999534
1.60E+18,-11.89060359,6.078947751,40,62,0,40,40,0,0,65,0.03449894457
1.60E+18,-10.44590416,5.997581853,45,57,0,40,40,0,0,64,0.02899996202
1.60E+18,-9.119212273,5.352575399,47,56,0,56,40,0,0,68,0.0219999968
1.60E+18,-8.025197357,4.966724729,50,59,0,64,40,0,0,71,0.03249994207
1.60E+18,-7.331942045,4.610981815,47,61,0,71,40,0,0,76,0
1.60E+18,-8.275409239,5.137959307,57,59,0,73,40,0,0,66,0.03499997963
1.60E+18,-9.929466497,5.780543066,45,60,0,55,40,0,0,71,0.03099988723
1.60E+18,-11.3320151,6.344385302,40,58,0,60,40,0,0,0,0.02999998254
1.60E+18,-12.73390213,6.845645576,40,53,0,44,40,0,0,64,0.03449971763
1.60E+18,-13.85479777,6.451816678,40,51,0,43,40,0,0,59,0.013999835
1.60E+18,-13.83135566,7.171049276,40,68,0,40,0,0,0,80,0.02299914328
1.60E+18,-15.76103968,5.335147817,40,54,0,40,40,0,0,71,0.037
1.60E+18,-15.28857872,9.142494919,40,64,0,40,40,0,0,0,0.005999999127
1.60E+18,-15.88403754,9.697959126,40,49,0,51,40,0,0,67,0.01499999782
1.60E+18,-16.58170257,10.21260329,40,56,0,54,40,0,0,62,0.02249999263
1.60E+18,-19.90507321,5.149639953,40,48,0,43,52,0,0,61,0.02599996595
1.60E+18,-18.14188616,11.50883927,40,50,0,47,40,0,0,63,0.02949999893
1.60E+18,-18.64146172,11.88265625,40,46,0,52,44,0,0,0,0.02094312511
1.60E+18,-19.53992426,12.54887667,40,57,0,58,48,0,0,65,0.0209999725
1.60E+18,-20.58457971,13.36708157,40,52,0,61,70,0,0,56,0.03
1.60E+18,-21.62037446,14.22618141,44,41,0,69,58,0,0,68,0.02899993249
1.60E+18,-22.73632449,15.15398878,44,40,0,73,59,0,0,53,0.02349995811
1.60E+18,-27.45045529,4.298740471,48,40,81,78,63,0,0,53,0.01749999427
1.60E+18,-24.57528125,16.48578086,69,40,83,0,65,0,0,52,0.02299998661
1.60E+18,-25.66105272,17.3771657,58,40,82,0,56,0,0,53,0.04049999853
1.60E+18,-27.22177419,18.67144385,50,40,81,74,51,0,0,53,0.03449993851
1.60E+18,-33.12648515,3.129260434,61,40,77,0,65,0,0,49,0.03872518289
1.60E+18,-29.62920838,20.4877797,66,40,83,0,72,0,0,48,0.03499997963
1.60E+18,-35.99607845,2.067666728,59,40,76,73,0,0,0,51,0.02599993947
1.60E+18,-32.41475885,22.12771402,65,40,74,0,0,0,0,49,0.04
1.60E+18,-33.88645634,23.17762723,68,40,79,0,62,0,0,53,0.03349998903
1.60E+18,-34.936502,24.0139601,68,42,79,84,77,0,0,47,0.02449979948
1.60E+18,-36.19884338,24.98378119,71,51,70,0,77,0,0,54,0.02749987896
1.60E+18,-37.31733658,25.84135536,0,0,63,0,0,0,0,40,0.02999996071
1.60E+18,-38.12955368,26.3865996,73,0,64,0,0,0,0,40,0.02649995277
1.60E+18,-39.28777925,27.18489484,75,68,61,0,78,0,0,40,0.022
1.60E+18,-47.54515255,-1.381034792,0,0,60,0,77,0,0,40,0.02799967
1.60E+18,-40.17467174,29.29914486,0,74,60,0,72,0,0,40,0.001499999945
1.60E+18,-40.13973211,29.65921635,79,68,52,0,0,0,85,40,0
1.60E+18,-40.32620357,30.13882446,0,69,50,0,0,0,0,40,0.006999898147
1.60E+18,-40.57395473,30.21794199,0,0,58,0,0,0,0,40,0.03049754923
1.60E+18,-40.93053497,30.01236146,77,72,59,0,0,0,0,40,0.01249979948
1.60E+18,-41.22590142,29.39715979,83,71,52,0,0,0,0,40,0.01399992667
1.60E+18,-41.54178784,28.91226617,0,65,59,0,0,0,0,40,0.01999995344
1.60E+18,-47.40128904,-3.245170826,70,71,66,0,70,0,0,40,0.008999994762
1.60E+18,-47.33176292,-4.306586547,70,58,47,0,0,0,0,40,0.02549997681
1.60E+18,-44.5212055,29.28999792,0,71,41,0,0,0,84,40,0.02599993947
1.60E+18,-45.59340733,29.64922195,76,73,49,0,0,0,82,40,0.02649995277
1.60E+18,-46.81955649,30.0548312,0,79,41,0,0,0,75,40,0.00917571266
1.60E+18,-48.1928476,30.63474869,0,78,40,0,0,0,74,40,0.03649998805
1.60E+18,-49.1541434,31.84940337,0,69,40,0,0,0,78,42,0.03299969269
1.60E+18,-48.6147602,33.38457326,0,80,40,0,0,77,61,40,0.03149998969
1.60E+18,-47.43978187,34.54381817,0,0,40,0,0,81,58,45,0.03499991852
1.60E+18,-46.17212,35.83120923,0,0,40,0,0,0,64,53,0.0409996182
1.60E+18,-55.00496649,-10.33081222,0,0,40,0,0,73,45,64,0.02549984324
1.60E+18,-43.32484209,36.66217056,0,0,40,0,0,69,46,77,0.04599997323
1.60E+18,-57.66159573,-7.773549438,0,0,40,0,0,61,45,80,0.03649983934
1.60E+18,-39.440305,36.56931351,0,0,0,0,0,59,40,80,0.03449998871
1.60E+18,-60.70462706,-5.224876188,0,0,40,0,0,53,40,0,0.03449989835
1.60E+18,-35.63449778,35.98929648,0,0,40,0,0,54,40,78,0.0339998219
1.60E+18,-34.96350431,35.47131962,0,0,58,0,0,61,40,0,0.002499799117
1.60E+18,-34.73408191,35.94725191,0,0,68,0,0,53,40,0,0.03099999549
1.60E+18,-63.58249207,-4.492192005,0,0,59,0,0,45,40,0,0.03799995024
1.60E+18,-36.25189683,38.3517391,0,0,59,0,0,40,40,0,0.02949997317
1.60E+18,-62.72984252,-7.924921427,0,0,48,0,0,46,40,0,0.03649977561
1.60E+18,-39.95061312,39.27723958,0,0,58,0,0,43,40,0,0.04049992781
1.60E+18,-41.56810043,40.47714027,0,0,51,0,0,47,40,0,0.03449998871
1.60E+18,-41.90866789,40.7646711,0,0,55,0,0,54,47,75,0